A0,A10,A20,A30,A40,A50,A60,A70,A80,A90,A100,B0,B10,B20,B30,B40,B50,B60,B70,B80,B90,B100,round
101.98,102.91,103.37,103.69,104.12,104.29,104.66,105.11,105.7,106.34,113.14,59.75,88.75,97.93,100.62,100.91,101.19,101.43,101.69,101.92,102.23,103.92,990
101.98,102.91,103.45,103.72,104.14,104.31,104.67,105.11,105.7,106.34,113.14,59.75,88.75,97.93,100.68,100.96,101.23,101.5,101.7,101.96,102.23,103.92,1000
101.98,102.91,103.45,103.73,104.15,104.34,104.7,105.11,105.77,106.4,113.14,59.75,88.75,97.93,100.68,100.97,101.27,101.53,101.7,102.01,102.25,103.92,1010
102.09,102.91,103.45,103.73,104.15,104.34,104.7,105.17,105.78,106.4,113.14,59.98,88.75,97.93,100.68,100.97,101.27,101.53,101.7,102.01,102.25,103.92,1020
102.09,102.91,103.45,103.73,104.15,104.34,104.77,105.19,105.78,106.4,113.14,59.98,88.75,97.93,100.68,100.97,101.27,101.55,101.7,102.01,102.25,103.92,1030
102.09,102.98,103.45,103.73,104.15,104.34,104.77,105.19,105.79,106.4,113.14,59.98,88.75,97.93,100.68,100.97,101.27,101.55,101.72,102.03,102.25,103.92,1040
102.09,102.98,103.45,103.73,104.16,104.35,104.77,105.19,105.79,106.4,113.14,59.98,88.75,97.93,100.7,101.0,101.28,101.55,101.76,102.04,102.25,103.92,1050
102.09,103.03,103.48,103.73,104.16,104.35,104.77,105.19,105.79,106.4,113.14,59.98,88.75,97.93,100.7,101.0,101.28,101.55,101.76,102.04,102.25,103.92,1060
102.09,103.03,103.48,103.73,104.16,104.35,104.77,105.19,105.79,106.4,113.14,59.98,88.75,97.93,100.7,101.0,101.28,101.55,101.76,102.04,102.28,103.92,1070
102.09,103.03,103.48,103.73,104.16,104.35,104.77,105.19,105.79,106.4,113.14,59.98,88.75,97.93,100.73,101.04,101.28,101.55,101.76,102.04,102.28,103.92,1080
102.09,103.03,103.48,103.73,104.16,104.35,104.77,105.19,105.79,106.4,113.14,59.98,91.38,97.93,100.73,101.04,101.28,101.55,101.76,102.04,102.28,103.92,1090
102.09,103.03,103.48,103.73,104.16,104.36,104.77,105.19,105.79,106.4,113.14,59.98,91.66,98.12,100.77,101.07,101.28,101.55,101.76,102.04,102.3,103.92,1100
102.09,103.03,103.48,103.73,104.16,104.36,104.77,105.19,105.79,106.42,113.14,59.98,91.66,99.0,100.77,101.07,101.28,101.55,101.76,102.04,102.3,103.92,1110
102.09,103.03,103.48,103.74,104.2,104.41,104.8,105.2,105.92,106.42,113.14,59.98,91.66,99.0,100.77,101.09,101.3,101.55,101.76,102.04,102.3,103.92,1120
102.09,103.16,103.53,103.77,104.2,104.41,104.8,105.24,105.99,106.42,113.14,59.98,91.66,100.16,100.77,101.09,101.3,101.58,101.85,102.11,102.3,103.92,1130
102.09,103.16,103.57,103.8,104.2,104.41,104.8,105.24,105.99,106.42,113.14,59.98,91.66,100.16,100.77,101.09,101.3,101.58,101.85,102.11,102.3,103.92,1140
102.09,103.16,103.57,103.8,104.2,104.41,104.8,105.24,105.99,106.42,113.14,59.98,91.66,100.16,100.77,101.09,101.3,101.58,101.85,102.11,102.3,103.92,1150
102.09,103.16,103.57,103.8,104.2,104.41,104.8,105.24,105.99,106.42,113.14,59.98,92.04,100.45,100.79,101.09,101.3,101.58,101.85,102.11,102.3,103.92,1160
102.09,103.16,103.65,103.8,104.2,104.41,104.8,105.24,105.99,106.42,113.14,59.98,92.04,100.46,100.83,101.1,101.3,101.58,101.85,102.11,102.3,103.92,1170
102.09,103.16,103.65,103.8,104.23,104.42,104.84,105.24,105.99,106.42,113.14,59.98,92.04,100.52,100.88,101.1,101.3,101.59,101.86,102.11,102.3,103.92,1180
102.09,103.19,103.66,103.83,104.23,104.42,104.89,105.28,106.06,106.42,113.14,59.98,92.04,100.52,100.88,101.1,101.3,101.59,101.86,102.11,102.3,103.92,1190
102.09,103.19,103.66,103.83,104.23,104.42,104.89,105.28,106.06,106.42,113.14,59.98,92.04,100.52,100.88,101.1,101.3,101.59,101.86,102.11,102.3,103.92,1200
102.09,103.29,103.66,103.85,104.23,104.42,104.9,105.28,106.06,106.42,113.14,59.98,92.04,100.52,100.88,101.1,101.3,101.59,101.86,102.11,102.3,103.92,1210
102.09,103.31,103.67,103.93,104.26,104.53,104.93,105.34,106.06,106.42,113.14,59.98,92.04,100.52,100.88,101.1,101.31,101.61,101.86,102.11,102.3,103.92,1220
102.09,103.31,103.67,103.93,104.26,104.53,104.93,105.34,106.06,106.42,113.14,59.98,92.04,100.52,100.88,101.1,101.31,101.61,101.89,102.11,102.34,103.92,1230
102.09,103.31,103.72,103.94,104.26,104.53,104.93,105.34,106.06,106.42,113.14,59.98,92.04,100.52,100.88,101.11,101.31,101.61,101.9,102.14,102.38,103.92,1240
102.09,103.31,103.72,103.94,104.26,104.53,104.93,105.34,106.06,106.42,113.14,59.98,92.04,100.52,100.88,101.11,101.31,101.61,101.9,102.14,102.38,103.92,1250
102.09,103.31,103.72,103.94,104.26,104.53,104.93,105.34,106.06,106.42,113.14,59.98,92.04,100.52,100.9,101.13,101.31,101.61,101.91,102.14,102.38,103.92,1260
102.09,103.35,103.72,103.94,104.26,104.53,104.98,105.34,106.06,106.42,113.14,59.98,92.04,100.52,100.9,101.18,101.34,101.63,101.91,102.14,102.4,103.92,1270
102.14,103.35,103.73,103.97,104.27,104.53,104.98,105.54,106.07,106.42,113.14,59.98,92.94,100.59,100.9,101.18,101.34,101.63,101.91,102.14,102.4,103.92,1280
102.14,103.35,103.75,103.99,104.27,104.53,104.98,105.54,106.07,106.42,113.14,59.98,92.94,100.59,100.9,101.18,101.36,101.63,101.91,102.14,102.4,103.92,1290
102.14,103.35,103.75,104.06,104.29,104.6,105.03,105.57,106.07,106.42,113.14,59.98,92.94,100.59,100.9,101.18,101.36,101.63,101.91,102.14,102.4,103.92,1300
102.14,103.35,103.75,104.06,104.34,104.77,105.11,105.57,106.07,106.42,113.14,59.98,92.94,100.59,100.9,101.2,101.36,101.63,101.91,102.14,102.4,103.92,1310
102.14,103.35,103.75,104.06,104.34,104.77,105.11,105.57,106.07,106.42,113.14,59.98,92.94,100.59,100.9,101.2,101.36,101.63,101.91,102.14,102.4,103.92,1320
102.14,103.35,103.76,104.1,104.34,104.77,105.11,105.69,106.13,106.45,113.14,59.98,92.94,100.59,100.9,101.2,101.36,101.63,101.91,102.16,102.44,103.92,1330
102.14,103.35,103.77,104.11,104.35,104.8,105.11,105.69,106.13,106.45,113.14,59.98,92.94,100.59,100.9,101.2,101.36,101.63,101.91,102.16,102.44,103.92,1340
102.14,103.35,103.77,104.14,104.35,104.84,105.13,105.69,106.13,106.45,113.14,59.98,92.94,100.59,100.9,101.2,101.36,101.63,101.91,102.16,102.44,103.92,1350
102.14,103.35,103.77,104.15,104.35,104.84,105.13,105.69,106.15,106.45,113.14,59.98,92.94,100.59,100.9,101.2,101.36,101.63,101.91,102.16,102.47,104.35,1360
102.14,103.35,103.77,104.15,104.35,104.84,105.13,105.69,106.15,106.45,113.14,59.98,92.94,100.59,100.9,101.23,101.36,101.63,101.91,102.16,102.47,104.35,1370
102.14,103.35,103.77,104.16,104.35,104.84,105.18,105.69,106.15,106.45,113.14,59.98,92.94,100.59,100.9,101.24,101.36,101.63,101.91,102.16,102.47,104.35,1380
102.28,103.48,103.79,104.2,104.36,104.89,105.18,105.69,106.15,106.45,113.14,59.98,92.94,100.59,100.9,101.24,101.36,101.69,101.95,102.17,102.47,104.35,1390
102.39,103.48,103.79,104.2,104.36,104.89,105.18,105.69,106.15,106.45,113.14,59.98,92.94,100.61,100.9,101.24,101.37,101.7,101.96,102.18,102.53,104.35,1400
102.39,103.48,103.79,104.2,104.41,104.9,105.18,105.69,106.15,106.52,113.14,59.98,92.94,100.62,100.97,101.27,101.43,101.7,101.96,102.18,102.53,104.35,1410
102.39,103.53,103.83,104.2,104.42,104.9,105.18,105.69,106.15,106.52,113.14,59.98,92.94,100.62,100.97,101.27,101.43,101.7,101.96,102.18,102.53,104.35,1420
102.51,103.53,103.94,104.22,104.55,104.9,105.19,105.75,106.16,106.64,113.14,59.98,96.4,100.68,101.0,101.27,101.43,101.7,101.96,102.18,102.53,104.35,1430
102.51,103.53,103.96,104.23,104.63,104.9,105.19,105.75,106.16,106.64,113.14,59.98,96.4,100.68,101.0,101.27,101.43,101.7,101.96,102.18,102.53,104.35,1440
102.62,103.57,103.97,104.28,104.63,104.9,105.19,105.75,106.16,106.64,113.14,59.98,96.4,100.68,101.0,101.27,101.43,101.7,101.96,102.18,102.53,104.35,1450
102.62,103.57,103.97,104.28,104.63,104.9,105.19,105.75,106.16,106.76,113.14,59.98,96.4,100.68,101.0,101.27,101.49,101.7,101.96,102.18,102.53,104.35,1460
102.62,103.65,104.02,104.35,104.73,104.96,105.2,105.77,106.17,106.76,113.14,59.98,96.4,100.68,101.0,101.27,101.49,101.7,101.97,102.18,102.53,104.35,1470
102.62,103.65,104.02,104.35,104.73,104.96,105.2,105.77,106.17,106.76,113.14,59.98,96.4,100.68,101.0,101.27,101.49,101.7,101.97,102.18,102.53,104.35,1480
102.62,103.65,104.02,104.35,104.73,104.96,105.2,105.77,106.17,106.76,113.14,59.98,96.4,100.68,101.0,101.27,101.49,101.7,101.97,102.18,102.53,104.35,1490
102.74,103.65,104.02,104.35,104.73,104.96,105.2,105.77,106.17,106.76,113.14,59.98,96.4,100.68,101.07,101.3,101.5,101.72,101.97,102.19,102.54,104.35,1500
102.74,103.65,104.02,104.35,104.73,104.96,105.2,105.77,106.17,106.76,113.14,59.98,96.4,100.7,101.08,101.3,101.5,101.72,101.97,102.19,102.54,104.35,1510
102.74,103.65,104.03,104.35,104.73,104.98,105.2,105.77,106.17,106.76,113.14,59.98,96.4,100.7,101.08,101.3,101.5,101.72,101.97,102.19,102.54,104.35,1520
102.74,103.65,104.03,104.35,104.73,105.01,105.24,105.78,106.18,106.76,113.14,59.98,96.4,100.7,101.08,101.3,101.5,101.72,102.01,102.23,102.54,104.35,1530
